"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2011","8 years","Net registrations","Number","2625"
"Used  (Imported) Cars Registered","2011","9 years","Gross registrations","Number","2582"
"Used  (Imported) Cars Registered","2011","9 years","Exempt registrations","Number","191"
"Used  (Imported) Cars Registered","2011","9 years","Net registrations","Number","2391"
"Used  (Imported) Cars Registered","2011","10 years","Gross registrations","Number","2047"
"Used  (Imported) Cars Registered","2011","10 years","Exempt registrations","Number","142"
"Used  (Imported) Cars Registered","2011","10 years","Net registrations","Number","1905"
"Used  (Imported) Cars Registered","2011","11 years","Gross registrations","Number","1324"
"Used  (Imported) Cars Registered","2011","11 years","Exempt registrations","Number","121"
"Used  (Imported) Cars Registered","2011","11 years","Net registrations","Number","1203"
"Used  (Imported) Cars Registered","2011","12 years","Gross registrations","Number","729"
"Used  (Imported) Cars Registered","2011","12 years","Exempt registrations","Number","88"
"Used  (Imported) Cars Registered","2011","12 years","Net registrations","Number","641"
"Used  (Imported) Cars Registered","2011","13 years and over","Gross registrations","Number","1487"
"Used  (Imported) Cars Registered","2011","13 years and over","Exempt registrations","Number","224"
"Used  (Imported) Cars Registered","2011","13 years and over","Net registrations","Number","1263"
"Used  (Imported) Cars Registered","2012","All ages","Gross registrations","Number","40512"
"Used  (Imported) Cars Registered","2012","All ages","Exempt registrations","Number","2610"
"Used  (Imported) Cars Registered","2012","All ages","Net registrations","Number","37902"
"Used  (Imported) Cars Registered","2012","1 year","Gross registrations","Number","1191"
"Used  (Imported) Cars Registered","2012","1 year","Exempt registrations","Number","79"
"Used  (Imported) Cars Registered","2012","1 year","Net registrations","Number","1112"
"Used  (Imported) Cars Registered","2012","2 years","Gross registrations","Number","3981"
"Used  (Imported) Cars Registered","2012","2 years","Exempt registrations","Number","176"
"Used  (Imported) Cars Registered","2012","2 years","Net registrations","Number","3805"
"Used  (Imported) Cars Registered","2012","3 years","Gross registrations","Number","4182"
"Used  (Imported) Cars Registered","2012","3 years","Exempt registrations","Number","233"
"Used  (Imported) Cars Registered","2012","3 years","Net registrations","Number","3949"
"Used  (Imported) Cars Registered","2012","4 years","Gross registrations","Number","8032"
"Used  (Imported) Cars Registered","2012","4 years","Exempt registrations","Number","239"
"Used  (Imported) Cars Registered","2012","4 years","Net registrations","Number","7793"
"Used  (Imported) Cars Registered","2012","5 years","Gross registrations","Number","8576"
"Used  (Imported) Cars Registered","2012","5 years","Exempt registrations","Number","319"
"Used  (Imported) Cars Registered","2012","5 years","Net registrations","Number","8257"
"Used  (Imported) Cars Registered","2012","6 years","Gross registrations","Number","1984"
"Used  (Imported) Cars Registered","2012","6 years","Exempt registrations","Number","267"
"Used  (Imported) Cars Registered","2012","6 years","Net registrations","Number","1717"
"Used  (Imported) Cars Registered","2012","7 years","Gross registrations","Number","2134"
